soc_id,glottocode,society,lat,lon,family,region
Na28,seka1250,Sekani,56,-123,Athabaskan-Eyak-Tlingit,Western Canada
Na29,beav1236,Beaver,58,-117,Athabaskan-Eyak-Tlingit,Western Canada
Na30,chip1261,Dene,60,-105,Athabaskan-Eyak-Tlingit,Subarctic America
Na31,sout2978,Eastern Cree,51,-85,Algic,Eastern Canada
Na32,mont1268,Montagnais,48,-72,Algic,Eastern Canada
Na33,alba1270,Northern Saulteaux,52,-98,Algic,Western Canada
Ad36,asut1235,Pare,-4,38,Atlantic-Congo,East Tropical Africa
Na34,lacs1238,Pekangekum,52,-94,Algic,Eastern Canada
Na35,cent2136,Nipigon,50,-88,Algic,Eastern Canada
Na36,redl1238,Minnesota Ojibwa,49,-96,Algic,Western Canada
Na37,rain1239,Rainy River Ojibwe,49,-92,Algic,Eastern Canada
Na38,uppe1274,Katikitegon,46,-92,Algic,North-Central U.S.A.
Na39,east2542,Eastern Ojibwa,46,-85,Algic,Northeastern U.S.A.
Na4,kask1239,Kaska,59,-128,Athabaskan-Eyak-Tlingit,Western Canada
Na40,otta1242,Ottawa,46,-82,Algic,Eastern Canada
Na41,mikm1235,Mi'kmaq,47,-65,Algic,Eastern Canada
Na42,pota1247,Potawatomi,44,-85,Algic,Northeastern U.S.A.
Ad37,tait1250,Teita,-4,39,Atlantic-Congo,East Tropical Africa
Na43,nets1241,Netsilik,69,-96,Eskimo-Aleut,Subarctic America
Na44,queb1248,Taqagmiut,62,-76,Eskimo-Aleut,Eastern Canada
Na45,sout2978,Mistissini Cree,51.75,-72.66,Algic,Middle Asia
Na5,nask1242,Naskapi,58,-70,Algic,Eastern Canada
Na6,kusk1241,Nunivak,60,-166,Eskimo-Aleut,Subarctic America
Na7,swam1239,Attawapiskat Cree,53,-83,Algic,Eastern Canada
Na8,dege1248,Deg Xit'an,62,-160,Athabaskan-Eyak-Tlingit,Subarctic America
Na9,east2533,Aleut,53.86,-166.79,Eskimo-Aleut,Subarctic America
Nb1,nort2938,Haida,54,-132,Haida,Western Canada
Nb10,sout2958,Alkatcho,53,-126,Athabaskan-Eyak-Tlingit,Western Canada
Ad38,kara1481,Kara,-2,33,Atlantic-Congo,East Tropical Africa
Nb11,nuuc1236,Nuu chah nulth,49.16,-125.85,Wakashan,Western Canada
Nb12,slia1241,Klahoose,51,-125,Salishan,Western Canada
Nb13,squa1248,Squamish,50,-123,Salishan,Western Canada
Nb14,isla1276,Comox,49.72,-124.97,Salishan,Western Canada
Nb15,lumm1243,Lummi,48.84,-123.27,Salishan,Western Canada
Nb16,clal1241,Klallam,48,-123,Salishan,Northwestern U.S.A.
Nb17,sout2965,Puyallup,47,-122,Salishan,Northwestern U.S.A.
Nb18,quil1240,Quileute,47.91,-124.59,Chimakuan,Northwestern U.S.A.
Nb19,chin1286,Lower Chinook,45.99,-123.77,Chinookan,Northwestern U.S.A.
Nb2,twan1247,Twana,48,-123,Salishan,Northwestern U.S.A.
Ad39,temi1247,Sonjo,-3,36,Atlantic-Congo,East Tropical Africa
Nb20,till1254,Tillamook,44.75,-123.72,Salishan,Northwestern U.S.A.
Nb21,coos1249,Coos,43,-124,Coosan,Northwestern U.S.A.
Nb22,tlin1245,Tlingit,58.12,-133.92,Athabaskan-Eyak-Tlingit,Subarctic America
Nb23,bell1263,Heiltsuk,52,-128,Wakashan,Western Canada
Nb24,maka1318,Makah,48.33,-124.62,Wakashan,Northwestern U.S.A.
Nb25,quin1251,Quinault,47.42,-124.16,Salishan,Northwestern U.S.A.
Nb26,cowi1241,Cowichan,49.01,-122.73,Salishan,Western Canada
Nb27,chil1281,Stó:lō,49,-122,Salishan,Western Canada
Nb28,alse1251,Alsea,44,-124,NA,Northwestern U.S.A.
Nb29,sius1254,Siuslaw,44,-124,NA,Northwestern U.S.A.
Ad4,kiku1240,Kikuyu,-1,37,Atlantic-Congo,East Tropical Africa
Nb3,kwak1269,Kwakwaka'wakw,51,-127.49,Wakashan,Western Canada
Nb30,take1257,Takelma,42,-123,NA,Northwestern U.S.A.
Nb31,tutu1242,Tututni,42,-124,Athabaskan-Eyak-Tlingit,Northwestern U.S.A.
Nb32,shas1239,Shasta,41,-122,Shastan,Southwestern U.S.A.
Nb33,chim1301,Chimariko,41,-123,NA,Southwestern U.S.A.
Nb34,karo1304,Karuk,42,-123,NA,Northwestern U.S.A.
Nb35,hupa1239,Hupa,41,-123,Athabaskan-Eyak-Tlingit,Southwestern U.S.A.
Nb36,wiyo1248,Wiyot,39.81,-123.55,Algic,Southwestern U.S.A.
Nb37,wail1244,Lassik,40,-123,Athabaskan-Eyak-Tlingit,Southwestern U.S.A.
Nb38,matt1238,Mattole-Bear River,40.35,-123.47,Athabaskan-Eyak-Tlingit,Southwestern U.S.A.
Ab10,mpon1252,Pondo,-31,30,Atlantic-Congo,Southern Africa
Ad40,idak1243,Tiriki,0,35,Atlantic-Congo,East Tropical Africa
Nb39,wail1244,Sinkyone,39.73,-123.6,Athabaskan-Eyak-Tlingit,Southwestern U.S.A.
Nb4,yuro1248,Yurok,41,-124,Algic,Southwestern U.S.A.
Nb5,eyak1241,Eyak,60.34,-144.85,Athabaskan-Eyak-Tlingit,Subarctic America
Nb6,tolo1259,Tolowa,42,-124,Athabaskan-Eyak-Tlingit,Northwestern U.S.A.
Nb7,nucl1649,Tsimshian,54.64,-130.25,Tsimshian,Western Canada
Nb8,hais1244,Haisla,54,-129,Wakashan,Western Canada
Nb9,bell1243,Nuxalk,52,-127,Salishan,Western Canada
Nc1,noml1242,Nomlaki,39,-122,Wintuan,Southwestern U.S.A.
Nc10,achu1247,Achumawi,41,-121,Palaihnihan,Southwestern U.S.A.
Nc11,yana1271,Yana,41,-122,NA,Southwestern U.S.A.
Ad41,buku1249,Vugusu,1,35,Atlantic-Congo,East Tropical Africa
Nc12,nort2952,Maidu,40,-121,Maiduan,Southwestern U.S.A.
Nc13,nise1244,Nisenan,39,-121,Maiduan,Southwestern U.S.A.
Nc14,nucl1651,Wintu,41,-122,Wintuan,Southwestern U.S.A.
Nc15,yuki1243,Coast Yuki,39.34,-123.77,Yuki-Wappo,Southwestern U.S.A.
Nc16,yuki1243,Huchnom,39,-123,Yuki-Wappo,Southwestern U.S.A.
Nc17,nort2966,Northern Pomo,39,-123,Pomoan,Southwestern U.S.A.
Nc18,east2545,Eastern Pomo,39,-123,Pomoan,Southwestern U.S.A.
Nc19,sout2984,Southern Pomo,38.55,-122.94,Pomoan,Southwestern U.S.A.
Nc2,tuba1278,Tübalulabal,39,-118,Uto-Aztecan,Southwestern U.S.A.
Nc20,wapp1239,Wappo,38.22,-122.56,Yuki-Wappo,Southwestern U.S.A.
Ad42,haya1250,Haya,-1,32,Atlantic-Congo,East Tropical Africa
Nc21,lake1258,Lake Miwok,38.75,-123.2,Miwok-Costanoan,Southwestern U.S.A.
Nc22,patw1250,Patwin,39,-122,Wintuan,Southwestern U.S.A.
Nc23,mono1275,Western Mono,37,-119,Uto-Aztecan,Southwestern U.S.A.
Nc24,vall1251,Southern Valley Yokuts,36,-120,Yokutsan,Southwestern U.S.A.
Nc25,tule1245,Wukchumni,36,-119,Yokutsan,Southwestern U.S.A.
Nc26,sali1253,Salinan,36,-121,NA,Southwestern U.S.A.
Nc27,kawa1283,Kawaiisu,35,-118,Uto-Aztecan,Southwestern U.S.A.
Nc28,cruz1243,Chumash,34.44,-119.71,Chumashan,Southwestern U.S.A.
Nc29,tong1329,Tongva,34,-118,Uto-Aztecan,Southwestern U.S.A.
Nc3,nort2937,Northern Foothill Yokuts,36,-120,Yokutsan,Southwestern U.S.A.
Ad43,kere1283,Kerewe,-3,33,Atlantic-Congo,East Tropical Africa
Nc30,serr1255,Serrano,34,-117,Uto-Aztecan,Southwestern U.S.A.
Nc31,cahu1264,Cahuilla (Desert),33,-116,Uto-Aztecan,Southwestern U.S.A.
Nc32,cupe1243,Cupeño,33,-117,Uto-Aztecan,Southwestern U.S.A.
Nc33,luis1253,Luiseño,33,-117,Uto-Aztecan,Southwestern U.S.A.
Nc34,kili1268,Kiliwa,31,-115,Cochimi-Yuman,Mexico
Nc4,atsu1245,Atsugewi,41,-121,Palaihnihan,Southwestern U.S.A.
Nc5,cent2140,Central Sierra Miwok,38,-120,Miwok-Costanoan,Southwestern U.S.A.
Nc6,kumi1248,Kumeyaay,32,-116,Cochimi-Yuman,Mexico
Nc7,yuki1243,Yuki,40,-123,Yuki-Wappo,Southwestern U.S.A.
Nc8,klam1254,Klamath,43,-122,NA,Northwestern U.S.A.
Ad44,konz1239,Konjo,-1,30,Atlantic-Congo,East Tropical Africa
Nc9,klam1254,Modoc,42,-122,NA,Northwestern U.S.A.
Nd1,teni1238,Tenino,45,-121,Sahaptian,Northwestern U.S.A.
Nd10,thom1243,Nlaka'pamux,50,-122,Salishan,Western Canada
Nd11,shus1248,Shuswap,51,-120,Salishan,Western Canada
Nd12,kali1309,Bitterroot Salish,46,-113,Salishan,Northwestern U.S.A.
Nd13,kali1309,Kalispel,49,-117,Salishan,Western Canada
Nd14,coeu1236,Coeur d’Alene,48,-117,Salishan,Northwestern U.S.A.
Nd15,sout2963,Sinkaitk,49,-120,Salishan,Western Canada
Nd16,wena1241,Wenatchi,48,-121,Salishan,Northwestern U.S.A.
Nd17,nucl1237,Klikitat,46,-122,Sahaptian,Northwestern U.S.A.
Ad45,nyan1307,Nyankole,0,31,Atlantic-Congo,East Tropical Africa
Nd18,wasc1239,Wishram,46,-121,Chinookan,Northwestern U.S.A.
Nd19,umat1237,Umatilla,46,-119,Sahaptian,Northwestern U.S.A.
Nd2,utee1244,Southern Ute,38,-109,Uto-Aztecan,Northwestern U.S.A.
Nd20,nezp1238,Nez Perce,45,-115,Sahaptian,Northwestern U.S.A.
Nd21,nort1551,Tagotoka,43,-117,Uto-Aztecan,Northwestern U.S.A.
Nd22,nort1551,Wadadokado,43,-119,Uto-Aztecan,Northwestern U.S.A.
Nd23,nort1551,Atsakudokwa,42,-118,Uto-Aztecan,Northwestern U.S.A.
Nd24,nort1551,Kidutokado,42,-120,Uto-Aztecan,Northwestern U.S.A.
Nd25,nort1551,Sawakudokwa,41,-118,Uto-Aztecan,Southwestern U.S.A.
Ad46,soga1242,Soga,1,33,Atlantic-Congo,East Tropical Africa
Nd27,sout2967,Kuyuidokado,40,-119,Uto-Aztecan,Southwestern U.S.A.
Nd28,sout2967,Toedokado,40,-118,Uto-Aztecan,Southwestern U.S.A.
Nd29,mono1275,Tunava (Deep Springs and Fish Lake),37,-118,Uto-Aztecan,Southwestern U.S.A.
Nd3,hava1249,Havasupai,36,-112,Cochimi-Yuman,Southwestern U.S.A.
Nd30,mono1275,Eastern Mono,37,-118,Uto-Aztecan,Southwestern U.S.A.
Nd31,pana1305,Koso,36,-118,Uto-Aztecan,Southwestern U.S.A.
Nd32,pana1305,Tümpisa Shoshone (Saline and Panamint),36,-117,Uto-Aztecan,Southwestern U.S.A.
Nd33,pana1305,Beatty,37,-116,Uto-Aztecan,Southwestern U.S.A.
Nd34,west2622,Lida Shoshoni,37,-117,Uto-Aztecan,Southwestern U.S.A.
Nd35,west2622,Mahaguaduka,39,-117,Uto-Aztecan,Southwestern U.S.A.
Ad47,sumb1240,Sumbwa,-4,32,Atlantic-Congo,East Tropical Africa
Nd36,west2622,Wiyambituka,39,-117,Uto-Aztecan,Southwestern U.S.A.
Nd37,west2622,Railroad Valley Shoshoni,39,-116,Uto-Aztecan,Southwestern U.S.A.
Nd38,west2622,Ely Shoshoni,39,-115,Uto-Aztecan,Southwestern U.S.A.
Nd4,sanp1257,Sanpoil,48,-119,Salishan,Northwestern U.S.A.
Nd40,west2622,Tubaduka,40,-113,Uto-Aztecan,Southwestern U.S.A.
Nd41,west2622,Wadaduka,41,-116,Uto-Aztecan,Southwestern U.S.A.
Nd42,west2622,Elko Shoshoni,41,-116,Uto-Aztecan,Southwestern U.S.A.
Nd43,west2622,White Knife Shoshoni,41,-117,Uto-Aztecan,Southwestern U.S.A.
Nd44,west2622,Yahanduka,42,-115,Uto-Aztecan,Northwestern U.S.A.
Ad48,toor1238,Toro,1,31,Atlantic-Congo,East Tropical Africa
Nd45,nort2955,Bohogue,43,-112,Uto-Aztecan,Northwestern U.S.A.
Nd47,nort2955,Tukudika,44,-111,Uto-Aztecan,Northwestern U.S.A.
Nd46,nort2955,Agaiduka,44,-112,Uto-Aztecan,Northwestern U.S.A.
Nd48,gosi1242,Gosiute,40,-114,Uto-Aztecan,Southwestern U.S.A.
Nd49,utee1244,Antarianunts,37,-110,Uto-Aztecan,Southwestern U.S.A.
Nd5,nort2955,Hukundika,42,-112,Uto-Aztecan,Northwestern U.S.A.
Nd50,utee1244,Panguitch,38,-112,Uto-Aztecan,Southwestern U.S.A.
Nd51,sout2969,Moapa,36,-115,Uto-Aztecan,Southwestern U.S.A.
Nd52,sout2969,Shivwits,36,-117,Uto-Aztecan,Southwestern U.S.A.
Nd53,sout2969,Southern Paiute (Kaibab),36,-113,Uto-Aztecan,Southwestern U.S.A.
Nd55,sout2969,Southern Paiute (Las Vegas),36,-115,Uto-Aztecan,Southwestern U.S.A.
Ad49,zinz1238,Zinza,-3,31,Atlantic-Congo,East Tropical Africa
Nd54,chem1251,Chemehuevi,35,-115,Uto-Aztecan,Southwestern U.S.A.
Nd56,sout2969,San Juan,36,-111,Uto-Aztecan,Southwestern U.S.A.
Nd57,utee1244,Pahvant,39,-113,Uto-Aztecan,Southwestern U.S.A.
Nd58,utee1244,Uintah Ute,40,-112,Uto-Aztecan,Southwestern U.S.A.
Nd59,utee1244,Moanunts,39,-112,Uto-Aztecan,Southwestern U.S.A.
Nd6,wash1253,Washo,39,-120,NA,Southwestern U.S.A.
Nd60,utee1244,Moache,37,-105,Uto-Aztecan,Northwestern U.S.A.
Nd61,utee1244,Taviwatsiu,40,-105,Uto-Aztecan,Northwestern U.S.A.
Nd62,utee1244,Uncompahgre Ute,39,-107,Uto-Aztecan,Northwestern U.S.A.
Ab11,xesi1238,Xhosa,-32.89,27.91,Atlantic-Congo,Southern Africa
Ad5,mbug1242,Mbugwe,-4,36,Atlantic-Congo,East Tropical Africa
Nd63,bann1248,Bannock,43,-112,Uto-Aztecan,Northwestern U.S.A.
Nd64,nort2955,Wind River Eastern Shoshone,43,-109,Uto-Aztecan,Northwestern U.S.A.
Nd65,wala1270,Hualapai,36,-114,Cochimi-Yuman,Southwestern U.S.A.
Nd66,yava1252,Yavapai,35,-112,Cochimi-Yuman,Southwestern U.S.A.
Nd67,yava1252,Tolkepaya,34,-114,Cochimi-Yuman,Southwestern U.S.A.
Nd7,kute1249,Kutenai,50,-117,NA,Western Canada
Nd8,chil1280,Chilcotin,52,-122,Athabaskan-Eyak-Tlingit,Western Canada
Nd9,lill1248,Lillooet,50.02,-124.78,Salishan,Western Canada
Ne1,gros1243,Gros Ventre,48.78,-108.98,Algic,Northwestern U.S.A.
Ne10,arik1262,Arikara,46,-101,Caddoan,North-Central U.S.A.
Ad50,kagu1239,Kaguru,-6,37,Atlantic-Congo,East Tropical Africa
Ne11,assi1247,Assiniboine,48,-106,Siouan,Northwestern U.S.A.
Ne12,pieg1239,Blackfoot,51,-112,Algic,Western Canada
Ne13,bloo1239,Kainai,51,-115,Algic,Western Canada
Ne14,west1510,Bungi,51,-100,Algic,Western Canada
Ne15,hida1246,Hidatsa,47,-101,Siouan,North-Central U.S.A.
Ne16,kara1289,Karankawa,29,-96,NA,South-Central U.S.A.
Ne17,kiow1266,Kiowa,36,-99,Kiowa-Tanoan,North-Central U.S.A.
Ne18,pieg1239,Piegan,49,-115,Algic,Western Canada
Ne19,plai1258,Plains Cree,45,-94,Algic,North-Central U.S.A.
Ne2,kiow1264,Kiowa Apache,36,-99,Athabaskan-Eyak-Tlingit,North-Central U.S.A.
Ad51,ngul1246,Ngulu,-6,38,Atlantic-Congo,East Tropical Africa
Ne20,dako1258,Santee,45,-94,Siouan,North-Central U.S.A.
Ne21,coah1252,Coahuilteco,29,-99,NA,South-Central U.S.A.
Ne3,coma1245,Comanche,33,-100,Uto-Aztecan,South-Central U.S.A.
Ne4,crow1244,Crow,45,-108,Siouan,Northwestern U.S.A.
Ne5,chey1247,Cheyenne,39,-104,Algic,Northwestern U.S.A.
Ne6,mand1446,Mandan,47,-101,Siouan,North-Central U.S.A.
Ne7,sars1236,Sarcee,54,-110,Athabaskan-Eyak-Tlingit,Western Canada
Ne8,lako1247,Teton,43,-103,Siouan,North-Central U.S.A.
Ne9,arap1274,Arapaho,40,-103,Algic,Northwestern U.S.A.
Ad6,nyak1261,Nyakyusa,-9,34,Atlantic-Congo,East Tropical Africa
Nf10,iowa1246,Iowa,41,-95,Siouan,North-Central U.S.A.
Nf11,otoo1241,Otoe,40,-95,Siouan,North-Central U.S.A.
Nf12,ponc1241,Ponca,43,-99,Siouan,North-Central U.S.A.
Nf13,shaw1249,Shawnee,37,-85,Algic,Southeastern U.S.A.
Nf14,cadd1256,Caddo,33,-93,Caddoan,Southeastern U.S.A.
Nf15,kick1244,Kickapoo,43,-90,Algic,North-Central U.S.A.
Nf2,hoch1243,Ho Chunk,44,-88,Siouan,North-Central U.S.A.
Nf3,omah1248,Omaha,41,-96,Siouan,North-Central U.S.A.
Nf4,miam1252,Myaamia,40,-86,Algic,Northeastern U.S.A.
Nf5,wich1260,Wichita,34,-98,Caddoan,South-Central U.S.A.
Ad7,gand1255,Ganda,1,32,Atlantic-Congo,East Tropical Africa
Nf6,pawn1254,Pawnee,42,-100,Caddoan,North-Central U.S.A.
Nf7,mesk1242,Fox,45,-95,Algic,North-Central U.S.A.
Nf8,cadd1256,Hasinai,31,-95,Caddoan,South-Central U.S.A.
Nf9,meno1252,Menominee,46,-88,Algic,Northeastern U.S.A.
Ng1,wyan1247,Huron,44,-78,Iroquoian,Eastern Canada
Ng10,sene1264,Seneca,43,-77,Iroquoian,Northeastern U.S.A.
Ng11,yuch1247,Yuchi,35,-86,NA,Southeastern U.S.A.
Ng12,choc1276,Choctaw,33,-88,Muskogean,Southeastern U.S.A.
Ng13,peno1243,Abenaki,46,-70,Algic,Northeastern U.S.A.
Ng14,chic1270,Chickasaw,35,-85,Muskogean,Southeastern U.S.A.
Ad8,hehe1240,Hehe,-8,35,Atlantic-Congo,East Tropical Africa
Ng15,chit1248,Chitimacha,30,-90,NA,Southeastern U.S.A.
Ng2,mika1239,Seminole,27,-81,Muskogean,Southeastern U.S.A.
Ng3,cree1270,Muscogee,33,-84,Muskogean,Southeastern U.S.A.
Ng4,peno1243,Penobscot,45,-68,Algic,Northeastern U.S.A.
Ng5,cher1273,Cherokee,36,-83,Iroquoian,Southeastern U.S.A.
Ng6,unam1242,Delaware,41,-75,Algic,Northeastern U.S.A.
Ng7,natc1249,Natchez,32,-91,NA,Southeastern U.S.A.
Ng8,timu1245,Timucua,27,-82,NA,Southeastern U.S.A.
Ng9,cata1286,Catawba,35,-80,Siouan,Southeastern U.S.A.
Nh1,mesc1238,Chiricahua,31,-108,Athabaskan-Eyak-Tlingit,Mexico
Ad9,masa1299,Gisu,1,34,Atlantic-Congo,East Tropical Africa
Nh10,sout2961,Isleta,35,-107,Kiowa-Tanoan,South-Central U.S.A.
Nh11,sani1273,San Ildefonso,36,-106,Kiowa-Tanoan,South-Central U.S.A.
Nh12,sant1426,Santa Ana,35,-107,Keresan,South-Central U.S.A.
Nh13,acom1246,Acoma,35,-108,Keresan,South-Central U.S.A.
Nh14,acom1246,Laguna,35,-107,Keresan,South-Central U.S.A.
Nh15,mesc1238,Mescalero,33,-103,Athabaskan-Eyak-Tlingit,South-Central U.S.A.
Nh16,jica1244,Jicarilla,36,-104,Athabaskan-Eyak-Tlingit,South-Central U.S.A.
Nh17,west2615,Western Apache,34,-110,Athabaskan-Eyak-Tlingit,Southwestern U.S.A.
Nh18,hopi1249,Hopi,36,-111,Uto-Aztecan,Southwestern U.S.A.
Nh19,coco1261,Cocopa,32,-115,Cochimi-Yuman,Mexico
Ae1,amba1263,Amba,1,30,Atlantic-Congo,West-Central Tropical Africa
Nh2,ariz1237,Hano,36,-111,Kiowa-Tanoan,Southwestern U.S.A.
Nh20,kumi1248,Kamia,33,-115,Cochimi-Yuman,Southwestern U.S.A.
Nh21,moha1256,Mojave,35,-114,Cochimi-Yuman,Southwestern U.S.A.
Nh22,quec1382,Quechan,33,-114,Cochimi-Yuman,Southwestern U.S.A.
Nh23,yava1252,Kewyipaya,34,-111,Cochimi-Yuman,Southwestern U.S.A.
Nh24,lipa1241,Lipan Apache,30,-100,Athabaskan-Eyak-Tlingit,South-Central U.S.A.
Nh25,ziaa1251,Sia,36,-107,Keresan,South-Central U.S.A.
Nh26,sant1421,Santa Clara,36,-106,Kiowa-Tanoan,South-Central U.S.A.
Nh27,sant1425,Kewa,36,-105,Keresan,South-Central U.S.A.
Nh3,nava1243,Navajo,37,-110,Athabaskan-Eyak-Tlingit,Southwestern U.S.A.
Ae10,kiny1244,Banyaruanda,-2,30,Atlantic-Congo,West-Central Tropical Africa
Nh4,zuni1245,Zuni,35,-109,NA,South-Central U.S.A.
Nh5,mari1440,Maricopa,33,-113,Cochimi-Yuman,Southwestern U.S.A.
Nh6,taos1236,Taos,37,-106,Kiowa-Tanoan,Northwestern U.S.A.
Nh7,coch1273,Cochiti,36,-106,Keresan,South-Central U.S.A.
Nh8,jeme1245,Jemez,36,-107,Kiowa-Tanoan,South-Central U.S.A.
Nh9,picu1248,Picuris,36,-106,Kiowa-Tanoan,South-Central U.S.A.
Ni1,cent2131,Tarahumara,28,-107,Uto-Aztecan,Mexico
Ni2,toho1246,Tohono O'odham,31,-112,Uto-Aztecan,Mexico
Ni3,huic1243,Huichol,23,-104,Uto-Aztecan,Mexico
Ni4,seri1257,Seri,29,-112,NA,Mexico
Ae11,song1300,Songola,-4,26,Atlantic-Congo,West-Central Tropical Africa
Ni5,chic1272,Chichimeca,22,-100,Otomanguean,Mexico
Ni6,akim1239,Pima,31,-111,Uto-Aztecan,Mexico
Ni7,yaqu1251,Yaqui,28,-110,Uto-Aztecan,Mexico
Ni8,opat1246,Opata,30,-110,Uto-Aztecan,Mexico
Ni9,nort2959,Tepehuán,27,-107,Uto-Aztecan,Mexico
Nj1,ojit1237,Chinantec,18,-96,Otomanguean,Mexico
Nj10,yala1267,Zapotec,17,-96,Otomanguean,Mexico
Nj11,huas1242,Huastec,22,-99,Mayan,Mexico
Nj12,juxt1235,Mixtec,18,-98,Otomanguean,Mexico
Nj13,mezq1235,Otomí,20,-99,Otomanguean,Mexico
Ab12,zulu1248,Zulu,-29,31,Atlantic-Congo,Southern Africa
Ae12,dual1243,Duala,4,10,Atlantic-Congo,West-Central Tropical Africa
Nj14,high1242,Tequistlatec,16,-96,Tequistlatecan,Mexico
Nj2,clas1250,Aztec,19,-99,Uto-Aztecan,Mexico
Nj3,high1276,Sierra Popoluca,18,-95,Mixe-Zoque,Mexico
Nj4,papa1238,Totonac,20,-97,Totonacan,Mexico
Nj5,huau1238,Mazateco,18,-97,Otomanguean,Mexico
Nj6,sanm1287,Huave,16.22,-95.02,Huavean,Mexico
Nj7,isth1238,Mixe,17,-95,Mixe-Zoque,Mexico
Nj8,pure1242,Tarasco,19,-101,Tarascan,Mexico
Nj9,cent2132,Tlaxcalans,19,-98,Uto-Aztecan,Mexico
Sa1,bord1248,Guna,9,-78,Chibchan,Central America
Ae13,shii1238,Bashi,-2,29,Atlantic-Congo,West-Central Tropical Africa
Sa10,laca1243,Lacandon,17,-92,Mayan,Mexico
Sa11,kaqc1270,Kaqchikel,14,-91,Mayan,Central America
Sa12,lenc1242,Lenca,14,-88,Lencan,Central America
Sa13,kich1262,K'iche',15,-91,Mayan,Central America
Sa14,ngab1239,Ngäbe,8,-81,Chibchan,Central America
Sa15,popt1235,Jakaltek,14,-90,Mayan,Central America
Sa16,toll1241,Tolupan,15,-87,Jicaquean,Central America
Sa17,poqo1253,Poqomam,15,-91,Mayan,Central America
Sa2,tzel1254,Tzeltal,17,-92,Mayan,Mexico
Sa3,chor1273,Ch'orti',14,-89,Mayan,Central America
Ae14,haaa1252,Ha,-5,30,Atlantic-Congo,East Tropical Africa
Sa4,nort2972,Emberá,8,-78,Chocoan,Central America
Sa5,brib1243,Bribri,9,-83,Chibchan,Central America
Sa6,yuca1254,Yucatec Maya,18,-90,Mayan,Mexico
Sa7,gari1256,Garifuna,16,-89,Arawakan,Central America
Sa8,mamm1241,Mam,15,-92,Mayan,Central America
Sa9,misk1235,Miskito,13,-85,Misumalpan,Central America
Sb1,isla1278,Callinago,15.41,-61.27,Arawakan,Caribbean
Sb2,cogu1240,Cágaba,11,-74,Chibchan,Western South America
Sb3,yukp1241,Barí (Motilon),9,-72,Cariban,Northern South America
Sb4,taba1267,Cariña,9,-64,Cariban,Northern South America
Ae15,hund1239,Hunde,-2,28,Atlantic-Congo,West-Central Tropical Africa
Sb5,para1316,Paraujano,11,-72,Arawakan,Northern South America
Sb6,wayu1243,Wayuu,12,-72,Arawakan,Western South America
Sb7,yukp1241,Yupa,9,-72,Cariban,Northern South America
Sb8,tain1254,Taíno,19.94,-75.37,Arawakan,Caribbean
Sb9,hait1244,Haitians,18.41,-72.17,Indo-European,Caribbean
Sc1,wara1303,Warao,9,-62,NA,Northern South America
Sc10,araw1276,Lokono,5.95,-56.98,Arawakan,Northern South America
Sc11,cama1252,Camaracoto,6,-63,Cariban,Northern South America
Sc12,macu1259,Macushi,4,-59,Cariban,Northern South America
