soc_id,glottocode,society,lat,lon,family,region
Aa1,juho1239,!Kung,-20,21,Kxa,Southern Africa
Ab1,here1253,Herero,-21,16,Atlantic-Congo,Southern Africa
Ad31,duru1249,Duruma,-4,39,Atlantic-Congo,East Tropical Africa
Ad32,giry1241,Giriama,-3,40,Atlantic-Congo,East Tropical Africa
Ad33,poko1261,Pokomo,-1,40,Atlantic-Congo,East Tropical Africa
Na3,copp1244,Copper Inuit,69,-110,Eskimo-Aleut,Subarctic America
Na22,west2618,Iglulik Inuit,70,-82,Eskimo-Aleut,Subarctic America
Na1,uppe1437,Nabesna,63,-141,Athabaskan-Eyak-Tlingit,Subarctic America
Na10,chug1254,Chugach,60.72,-146.49,Eskimo-Aleut,Subarctic America
Na11,cent2128,Sivokakmeit,63.34,-170.3,Eskimo-Aleut,Subarctic America
Na12,nort2944,Nunamiut,68,-152,Eskimo-Aleut,Subarctic America
Ad34,kamb1297,Kamba,-2,38,Atlantic-Congo,East Tropical Africa
Na13,baff1240,Baffin Island Inuit,65.24,-64.63,Eskimo-Aleut,Subarctic America
Na14,pola1254,Inughuit (Northern Greenland),78,-70,Eskimo-Aleut,Subarctic America
Na15,dogr1252,Tlicho,63,-117,Athabaskan-Eyak-Tlingit,Subarctic America
Na16,nort2942,Délįne,65,-119,Athabaskan-Eyak-Tlingit,Subarctic America
Na17,sout2959,DeneTha,61,-120,Athabaskan-Eyak-Tlingit,Subarctic America
Na19,carr1249,Dakelh,54,-124,Athabaskan-Eyak-Tlingit,Western Canada
Na2,nort2944,Tareumiut,71,-157,Eskimo-Aleut,Subarctic America
Na20,gwic1235,Kutchin,66,-135,Athabaskan-Eyak-Tlingit,Subarctic America
Na21,cari1277,Caribou Inuit,63,-96,Eskimo-Aleut,Subarctic America
Na23,labr1244,Labrador Inuit,58,-65,Eskimo-Aleut,Eastern Canada
Ad35,meru1245,Meru,0,35,Atlantic-Congo,East Tropical Africa
Na24,tunu1234,Tasiilaq,66,-37,Eskimo-Aleut,Subarctic America
Na25,kala1399,Kalaallit (West Greenland),68.66,-51.22,Eskimo-Aleut,Subarctic America
Na26,tana1289,Dena'ina,62,-144,Athabaskan-Eyak-Tlingit,Subarctic America
Na27,tahl1239,Tahltan,58,-131,Athabaskan-Eyak-Tlingit,Western Canada
