society,glottocode,HRAF_name_ID
Barama River Carib,mura1272,Barama River Carib (SR09)
Saramaccan,sara1340,Saramaka (SR15)
Munduruku,mund1330,Mundurucu (SQ13)
Yanomami,yano1261,Yanoama (SQ18)
Sirionó,siri1273,Siriono (SF21)
Shuar,shua1257,Jivaro (SD09)
Cubeo,cube1242,Tucano (SQ19)
Amahuaca,amah1246,NA
Inca,cusc1236,Inca (SE13)
Aymara,cent2142,Aymara (SF05)
Chachi,chac1249,Chachi (SD06)
Yahgan,yama1264,Yahgan (SH06)
Mapuche,mapu1245,Aracuanians (SG04)
Tehuelche,tehu1242,Tehuelche (SH05)
Abipón,abip1241,Abipon (SI04)
Lengua,leng1262,NA
Trumai,trum1247,Trumai (SP23)
Nambikwara,sout2994,Nambicuara (SP17)
Cayua,mbya1239,Cayua (SM04)
Shavante,xava1240,NA
Aweikoma,xokl1240,Xokleng (SM03)
Canela,cane1242,Canela (SO08)
Aimoré,kren1239,NA
Tupinambá,tupi1273,Tupinamba (SO09)
