family,glottocode
Afro-Asiatic,3adt1234
Austronesian,aala1237
Nuclear Trans New Guinea,aant1238
South Omotic,aari1238
South Omotic,aari1239
Bookkeeping,aari1240
Afro-Asiatic,aasa1238
Indo-European,aasd1234
Nuclear Trans New Guinea,aata1238
Sino-Tibetan,abaa1238
Afro-Asiatic,abab1239
Atlantic-Congo,abab1240
Abkhaz-Adyge,abad1240
Austronesian,abad1241
Nuclear Trans New Guinea,abag1245
Austronesian,abai1239
Austronesian,abai1240
Austronesian,abai1241
Atlantic-Congo,abak1242
Austronesian,abak1243
Yele,abal1238
Eastern Trans-Fly,abam1239
Atlantic-Congo,aban1242
Quechuan,aban1243
Atlantic-Congo,aban1244
Atlantic-Congo,abar1238
Sepik,abau1245
Atlantic-Congo,abaw1238
Atlantic-Congo,abay1238
Abkhaz-Adyge,abaz1241
Atlantic-Congo,abbe1238
Indo-European,abbr1238
Afro-Asiatic,abda1238
Central Sudanic,abed1238
Atlantic-Congo,abee1242
Atlantic-Congo,abee1243
Austronesian,abel1234
Sino-Tibetan,aben1247
Sino-Tibetan,aben1248
Austronesian,aben1249
Afro-Asiatic,abgu1238
Atlantic-Congo,abid1235
Nilotic,abie1238
Nilotic,abig1238
Nilotic,abil1238
Atlantic-Congo,abin1242
NA,abin1243
Guaicuruan,abip1241
NA,abis1238
Maban,abka1238
NA,abkh1242
Abkhaz-Adyge,abkh1243
Abkhaz-Adyge,abkh1244
Austronesian,able1237
Atlantic-Congo,abob1234
Anim,abom1238
Atlantic-Congo,abon1238
Atlantic-Congo,aboo1241
Atlantic-Congo,aboo1242
Tamaic,abou1238
Austronesian,abra1237
Atlantic-Congo,abro1238
Indo-European,abru1239
Indo-European,absh1238
Atlantic-Congo,abua1243
Atlantic-Congo,abua1244
Nuclear Torricelli,abua1245
Timor-Alor-Pantar,abui1241
Dravidian,abuj1237
Nilotic,abul1238
NA,abun1252
Abun,abun1253
Abun,abun1254
Abun,abun1255
Atlantic-Congo,abur1243
Atlantic-Congo,abur1244
Kadugli-Krongo,abus1238
Lower Sepik-Ramu,abuu1241
Abkhaz-Adyge,abzh1238
Indo-European,acad1238
Otomanguean,acat1239
Otomanguean,acat1240
Indo-European,acch1238
Sino-Tibetan,acha1249
Arawakan,acha1250
Sino-Tibetan,acha1252
Sino-Tibetan,ache1244
Narrow Talodi,ache1245
Tupian,ache1246
Narrow Talodi,ache1247
Sino-Tibetan,achi1247
Sino-Tibetan,achi1255
Mayan,achi1256
Austronesian,achi1257
Bookkeeping,achi1258
Indo-European,acht1238
Palaihnihan,achu1247
Chicham,achu1248
Chicham,achu1249
Nuclear Trans New Guinea,acii1238
Nuclear Trans New Guinea,acod1234
