family,glottocode
Nilotic,acol1236
Keresan,acom1246
Nuclear-Macro-Je,acro1239
Atlantic-Congo,adaa1238
Bookkeeping,adab1235
NA,adai1235
Sign Language,adam1238
Atlantic-Congo,adam1253
Atlantic-Congo,adam1254
Atlantic-Congo,adam1257
Atlantic-Congo,adam1260
Atlantic-Congo,adan1247
Atlantic-Congo,adan1248
Atlantic-Congo,adan1249
Austronesian,adan1250
Timor-Alor-Pantar,adan1251
Timor-Alor-Pantar,adan1252
Bookkeeping,adap1234
Afro-Asiatic,adar1242
Austronesian,adas1235
Atlantic-Congo,adel1244
Afro-Asiatic,aden1241
Afro-Asiatic,aden1242
Afro-Asiatic,ader1239
Dravidian,adew1237
Austronesian,adga1237
Austronesian,adha1237
Indo-European,adha1238
Nilotic,adho1241
Nilotic,adho1242
Nilotic,adho1243
Atlantic-Congo,adib1240
Dravidian,adid1237
Atlantic-Congo,adie1238
Hatam-Mansim,adih1238
Austronesian,adij1237
Atlantic-Congo,adim1238
Atlantic-Congo,adio1239
Indo-European,adiv1238
Indo-European,adiv1239
Indo-European,adiw1235
Dravidian,adiy1237
Pama-Nyungan,adja1238
Central Sudanic,adju1239
Indo-European,adku1239
Austronesian,admi1239
Pama-Nyungan,adny1235
Atlantic-Congo,adom1238
Austronesian,adon1237
Austronesian,adoo1237
Nilotic,adoy1238
Bookkeeping,adug1238
Atlantic-Congo,adun1238
Speech Register,adur1234
North Halmahera,aduu1238
Abkhaz-Adyge,adyg1241
Austronesian,adze1240
Bookkeeping,adze1241
Kartvelian,adzh1238
Indo-European,aegi1237
Nuclear Trans New Guinea,aeka1244
Kamula-Elevala,aeky1238
Indo-European,aeol1234
Indo-European,aequ1239
Indo-European,aerr1238
Anim,aewa1238
Atlantic-Congo,afaa1238
Afro-Asiatic,afad1236
Afro-Asiatic,afar1241
Afro-Asiatic,afas1238
Atlantic-Congo,afen1234
Afro-Asiatic,affa1240
Atlantic-Congo,affi1239
Afro-Asiatic,afgh1238
Sign Language,afgh1239
Mixed Language,afgh1240
Afro-Asiatic,afhe1238
Atlantic-Congo,afik1238
Nyimang,afit1238
Koiarian,afor1239
Indo-European,afri1271
Atlantic-Congo,afri1272
Indo-European,afri1273
Indo-European,afri1274
Indo-European,afro1254
NA,afro1255
Unattested,afro1259
Turkic,afsh1238
Atlantic-Congo,afud1235
Mongolic,agaa1241
Gumuz,agal1241
Austronesian,agam1238
Uralic,agan1234
Uralic,agan1235
Nilotic,agar1249
Indo-European,agar1250
Unattested,agar1251
Nuclear Trans New Guinea,agar1252
Atlantic-Congo,agat1236
Atlantic-Congo,agau1239
Unattested,agav1236
Atlantic-Congo,agba1238
Speech Register,agbi1234
Atlantic-Congo,agbo1241
Atlantic-Congo,agbo1242
Nilotic,agee1238
Atlantic-Congo,aghe1239
Atlantic-Congo,agho1238
Nakh-Daghestanian,aghu1253
Pama-Nyungan,aghu1254
Nuclear Trans New Guinea,aghu1255
Bookkeeping,aghu1256
Nakh-Daghestanian,aghu1259
Nakh-Daghestanian,aghw1237
Central Sudanic,agii1244
Nuclear Torricelli,agii1245
Nuclear Torricelli,agiy1234
Atlantic-Congo,agne1238
Lower Sepik-Ramu,agoa1234
Pahoturi,agob1244
Pahoturi,agob1245
Atlantic-Congo,agoi1244
Atlantic-Congo,agoi1245
Atlantic-Congo,agoi1246
Atlantic-Congo,agon1238
Afro-Asiatic,agra1238
Austronesian,agta1234
Unattested,agua1251
Mayan,agua1252
Chicham,agua1253
Cofán,agua1254
Austronesian,aguf1237
Indo-European,agul1243
Nakh-Daghestanian,agul1244
Indo-European,agul1245
Atlantic-Congo,agun1238
Nilotic,aguo1238
Austronesian,agus1235
Austronesian,agut1237
Sino-Tibetan,aguu1241
Atlantic-Congo,aguu1242
Atlantic-Congo,agwa1246
Atlantic-Congo,agwa1247
Atlantic-Congo,ahaf1238
Atlantic-Congo,ahan1243
Atlantic-Congo,ahan1244
Eleman,ahea1235
Bookkeeping,ahea1240
Narrow Talodi,ahei1238
Dravidian,aher1237
Austroasiatic,aheu1239
Austronesian,ahin1234
Indo-European,ahir1242
Bookkeeping,ahir1243
South Omotic,ahkk1235
Tai-Kadai,ahom1240
Tai-Kadai,ahou1236
Athabaskan-Eyak-Tlingit,ahte1237
Otomanguean,ahua1238
Atlantic-Congo,ahwa1235
Afro-Asiatic,ahwa1239
Austronesian,aial1237
Lower Sepik-Ramu,aian1241
Austronesian,aibo1237
Tai-Kadai,aich1238
Angan,aiew1238
Austronesian,aigh1235
Austronesian,aigo1239
NA,aika1237
Austronesian,aikl1237
Austronesian,aiko1237
Bookkeeping,aiku1240
Indo-European,aima1241
Kunama,aima1242
Bosavi,aime1238
Sino-Tibetan,aimo1244
Timor-Alor-Pantar,aimo1245
Nuclear-Macro-Je,aimo1246
Sino-Tibetan,aimo1247
Border,ainb1238
Dravidian,aine1237
Ainu,ainu1240
Turkic,ainu1251
NA,ainu1252
Lower Sepik-Ramu,aiom1240
Kibiri,aird1238
Austronesian,airm1240
Austronesian,airm1241
Greater Kwerba,airo1242
Songhay,airr1238
Afro-Asiatic,airr1242
Turkic,airy1239
Nuclear Trans New Guinea,aisi1234
North Bougainville,aita1238
Tai-Kadai,aito1238
Austronesian,aitu1237
Dravidian,aiya1239
Dravidian,aiya1240
Atlantic-Congo,aiye1241
Khoe-Kwadi,aiye1242
Atlantic-Congo,aizi1248
Japonic,aizu1241
Tupian,aizu1242
Atlantic-Congo,ajab1235
Nuclear Trans New Guinea,ajam1240
Kresh-Aja,ajas1235
Afro-Asiatic,ajaw1236
Atlantic-Congo,ajee1238
Austronesian,ajie1238
Indo-European,ajir1238
Mpur,ajiw1238
Atlantic-Congo,ajra1238
Central Sudanic,ajug1238
Austronesian,ajuh1237
Atlantic-Congo,ajum1239
Arawakan,ajyi1238
Eastern Jebel,akaa1242
Great Andamanese,akab1248
Great Andamanese,akab1249
Koiarian,akab1250
Great Andamanese,akac1240
Great Andamanese,akaj1239
Great Andamanese,akak1251
Great Andamanese,akak1252
Great Andamanese,akak1253
Eastern Jebel,akak1254
Sino-Tibetan,akal1238
Atlantic-Congo,akam1238
Tungusic,akan1248
Atlantic-Congo,akan1250
Atlantic-Congo,akan1251
Great Andamanese,akar1243
Pama-Nyungan,akar1244
Ijoid,akas1241
Atlantic-Congo,akas1242
Cariban,akaw1239
Atlantic-Congo,akeb1238
Atlantic-Congo,akee1238
Austronesian,akei1237
Pama-Nyungan,aker1238
Sino-Tibetan,akeu1235
Sino-Tibetan,akha1245
Sino-Tibetan,akha1246
Afro-Asiatic,akhm1237
Kxa,akho1238
Nakh-Daghestanian,akht1238
Nakh-Daghestanian,akhv1239
Nuclear Trans New Guinea,akii1238
Uto-Aztecan,akim1239
Austronesian,akit1239
Japonic,akit1240
Uralic,akka1237
Afro-Asiatic,akka1240
Sepik,akkk1240
Austronesian,akla1240
Austronesian,akla1241
Indo-European,aknn1239
Austronesian,akol1237
Atlantic-Congo,akon1238
Sino-Tibetan,akoo1247
Atlantic-Congo,akoo1248
Atlantic-Congo,akoo1249
Austronesian,akoo1250
Angan,akoy1238
Atlantic-Congo,akpa1238
Atlantic-Congo,akpa1243
Atlantic-Congo,akpe1247
Atlantic-Congo,akpe1248
Atlantic-Congo,akpe1249
Atlantic-Congo,akpo1242
Atlantic-Congo,akpo1243
Indo-European,akre1239
Lower Sepik-Ramu,akru1241
Kawesqar,aksa1237
Atlantic-Congo,akua1239
Atlantic-Congo,akuk1235
Atlantic-Congo,akum1238
Atlantic-Congo,akum1239
Atlantic-Congo,akun1239
Tupian,akun1241
Tupian,akun1243
Cariban,akur1238
Nakh-Daghestanian,akus1238
Atlantic-Congo,akwa1247
Atlantic-Congo,akwa1248
Atlantic-Congo,akwa1249
Atlantic-Congo,akye1239
Muskogean,alab1237
Austronesian,alab1246
Muskogean,alab1247
Afro-Asiatic,alab1254
Austronesian,alab1255
Turkic,alab1256
Kawesqar,alac1239
Kawesqar,alac1240
Otomanguean,alac1244
Atlantic-Congo,alad1239
Atlantic-Congo,alag1242
Austronesian,alag1243
Afro-Asiatic,alag1248
Bookkeeping,alag1249
Austroasiatic,alak1252
Austroasiatic,alak1253
Timor-Alor-Pantar,alak1254
Sepik,alam1246
Indo-European,alan1247
Atlantic-Congo,alan1248
Austronesian,alan1249
Nuclear Trans New Guinea,alan1250
Unattested,alap1235
Mongolic,alar1239
Indo-European,alas1253
Austronesian,alas1254
Mongolic,alas1256
Atlantic-Congo,alat1245
Nambiquaran,alat1246
Mangarrayi-Maran,alaw1244
Pama-Nyungan,alay1234
Indo-European,alba1267
Indo-European,alba1268
Austronesian,alba1269
Algic,alba1270
Sign Language,alba1271
Pama-Nyungan,alba1272
Austronesian,alca1237
Otomanguean,alco1235
Tungusic,alec1238
Atlantic-Congo,aleg1238
Nuclear Trans New Guinea,alek1238
Indo-European,alem1243
Austronesian,alep1237
Afro-Asiatic,alep1241
Eskimo-Aleut,aleu1260
Austronesian,alew1234
Uralic,alfo1240
Afro-Asiatic,alga1234
Sign Language,alge1235
Afro-Asiatic,alge1239
Afro-Asiatic,alge1240
Indo-European,algh1238
Afro-Asiatic,algi1247
NA,algi1248
Algic,algo1255
Algic,algo1256
Afro-Asiatic,alha1241
Afro-Asiatic,alha1242
Nilotic,alia1238
Atlantic-Congo,alif1238
Indo-European,alig1238
Atlantic-Congo,alii1240
Austronesian,alii1241
Arawakan,alil1239
Indo-European,alin1238
Sign Language,alip1234
Austronesian,alit1234
Indo-European,alla1246
Dravidian,alla1247
Atlantic-Congo,alla1248
Austronesian,alla1249
Tungusic,alla1250
Huarpean,alle1238
Indo-European,alll1234
Afro-Asiatic,almu1234
Pama-Nyungan,alng1239
Otomanguean,aloa1235
Afro-Asiatic,aloa1239
Sino-Tibetan,alop1235
Nilotic,alor1246
Austronesian,alor1247
Timor-Alor-Pantar,alor1249
Timor-Alor-Pantar,alor1250
Indo-European,alpi1238
Afro-Asiatic,alqo1238
Indo-European,alsa1241
Sign Language,alsa1242
NA,alse1251
Alsea-Yaquina,alse1252
Turkic,alta1277
Mongolic,alta1279
Mongolic,alta1280
Basque,alto1237
Basque,alto1238
Arawakan,alto1249
Arawakan,alto1250
Indo-European,alts1234
Sino-Tibetan,alug1235
Dravidian,aluk1238
Indo-European,aluk1239
Atlantic-Congo,alum1246
Atlantic-Congo,alum1247
Austronesian,alum1248
Atlantic-Congo,alum1249
Atlantic-Congo,alum1250
Atlantic-Congo,alum1251
Austronesian,alun1238
Sino-Tibetan,aluo1235
Central Sudanic,alur1249
Nilotic,alur1250
Chukotko-Kamchatkan,alut1245
Chukotko-Kamchatkan,alut1246
Atlantic-Congo,aluu1242
Austronesian,aluu1243
Indo-European,alvi1241
Indo-European,alvi1242
Pama-Nyungan,alya1239
Nakh-Daghestanian,alyk1238
Indo-European,amad1240
Afro-Asiatic,amad1244
Austronesian,amah1245
Pano-Tacanan,amah1246
Nuclear Trans New Guinea,amai1246
Nuclear Trans New Guinea,amai1247
Sepik,amal1242
Austronesian,amal1243
Japonic,amam1245
Goilalan,amam1246
Sign Language,amam1247
Atlantic-Congo,aman1261
Atlantic-Congo,aman1262
Mande,aman1263
Austronesian,aman1264
Border,aman1265
Tupian,aman1266
Left May,amap1240
Bookkeeping,amap1241
Arawakan,amar1241
Iwaidjan Proper,amar1271
Austronesian,amar1272
Austronesian,amar1273
Harakmbut,amar1274
Guahiboan,amar1275
Afro-Asiatic,amar1281
Nyimang,amas1236
Otomanguean,amat1238
Atlantic-Congo,amay1238
Atlantic-Congo,amba1263
Austronesian,amba1264
Austronesian,amba1265
Austronesian,amba1266
Austronesian,amba1267
Nuclear Trans New Guinea,amba1268
NA,amba1269
Austronesian,amba1270
Unclassifiable,ambe1246
Atlantic-Congo,ambe1247
Austronesian,ambe1248
Austronesian,ambe1249
Austronesian,ambl1237
Indo-European,ambo1247
Atlantic-Congo,ambo1248
Atlantic-Congo,ambo1249
Austronesian,ambo1250
Quechuan,ambo1252
Austronesian,ambo1253
Austronesian,ambo1254
Nuclear Torricelli,ambr1239
Austronesian,ambr1240
Austronesian,ambu1244
Austronesian,ambu1245
Ndu,ambu1246
Ndu,ambu1247
Furan,amda1238
Sino-Tibetan,amdo1237
Sino-Tibetan,amdo1238
Nuclear Trans New Guinea,amel1241
Western Daly,amem1235
Atlantic-Congo,amen1242
Central Sudanic,amen1243
Sign Language,amer1248
Indo-European,amer1254
Pidgin,amer1255
Bookkeeping,amer1256
Sign Language,amer1258
Indo-European,amer1259
Austronesian,amfo1237
Austronesian,amga1235
Afro-Asiatic,amha1244
Afro-Asiatic,amha1245
Indo-European,amie1238
Western Daly,amii1238
Bookkeeping,amik1238
Indo-European,amis1245
Austronesian,amis1246
Bookkeeping,ammo1234
Tupian,amoi1234
Nuclear Torricelli,amol1235
Otomanguean,amol1236
Damal,amon1239
Tupian,amon1240
Atlantic-Congo,amoo1242
Guahiboan,amor1238
Afro-Asiatic,amor1239
Unclassifiable,amot1239
Manubaran,amot1240
Atlantic-Congo,amou1238
Dogon,ampa1238
Austronesian,ampa1239
Indo-European,ampe1238
Austronesian,ampi1237
Dravidian,amra1237
Sino-Tibetan,amri1238
Indo-European,amru1234
NA,amto1249
Amto-Musan,amto1250
Chibchan,amub1238
Nuclear Trans New Guinea,amug1239
Austronesian,amun1244
Damal,amun1245
Tupian,amun1246
Nivkh,amur1242
Ta-Ne-Omotic,amur1243
Atlantic-Congo,amuu1238
Nakh-Daghestanian,amux1234
Otomanguean,amuz1253
Otomanguean,amuz1254
Atlantic-Congo,anaa1238
Khoe-Kwadi,anaa1239
Austronesian,anak1240
Sino-Tibetan,anal1239
Nuclear Trans New Guinea,anam1247
Nuclear Trans New Guinea,anam1248
Tupian,anam1249
Nuclear Trans New Guinea,anam1250
Tupian,anam1251
Atlantic-Congo,anan1238
Indo-European,anar1241
Indo-European,anar1243
Bookkeeping,anas1239
Turkic,anat1247
Dogon,anat1248
Afro-Asiatic,anat1252
Afro-Asiatic,anat1256
Indo-European,anat1257
Turkic,anat1259
Indo-European,anat1260
Turkic,anau1242
Arawakan,anau1243
Unattested,anca1236
Austronesian,anca1243
Nakh-Daghestanian,anch1238
Austronesian,anch1239
Atlantic-Congo,anch1240
Indo-European,anci1242
Afro-Asiatic,anci1244
Afro-Asiatic,anci1245
Unclassifiable,anci1248
Nakh-Daghestanian,ancu1238
Indo-European,anda1279
Indo-European,anda1280
Nakh-Daghestanian,anda1281
Worrorran,anda1282
Arafundi,anda1283
Lower Sepik-Ramu,anda1284
Quechuan,anda1285
NA,anda1286
Afro-Asiatic,anda1287
Dravidian,ande1246
Pama-Nyungan,ande1247
Nuclear Trans New Guinea,ande1248
Indo-European,andh1241
Indo-European,andh1242
Indo-European,andi1253
Nakh-Daghestanian,andi1254
Nakh-Daghestanian,andi1255
Central Sudanic,andi1256
Austronesian,andi1257
Huitotoan,ando1254
Zaparoan,ando1255
NA,ando1256
Andoque,ando1257
Sino-Tibetan,andr1245
Sino-Tibetan,andr1246
Central Sudanic,andr1247
Austronesian,andr1248
Atlantic-Congo,anee1234
Austronesian,anei1239
Yareban,anem1248
NA,anem1249
Austronesian,aneu1237
Atlantic-Congo,anex1238
Ta-Ne-Omotic,anfi1235
Sino-Tibetan,anga1244
Sino-Tibetan,anga1286
Sino-Tibetan,anga1287
Sino-Tibetan,anga1288
NA,anga1289
Angan,anga1290
Nuclear Trans New Guinea,anga1291
Nuclear Trans New Guinea,anga1292
Nuclear Trans New Guinea,anga1293
Nuclear Trans New Guinea,anga1294
Afro-Asiatic,anga1311
Sino-Tibetan,anga1312
Nuclear Trans New Guinea,anga1313
Nuclear Trans New Guinea,anga1314
Sign Language,anga1315
Lengua-Mascoy,anga1316
Indo-European,ange1244
Pama-Nyungan,angg1238
Nuclear Trans New Guinea,angg1239
Indo-European,angi1238
Austroasiatic,angk1246
Nuclear Trans New Guinea,angk1247
Austronesian,angk1248
Mixed Language,angl1239
Sign Language,angl1242
Indo-European,angl1258
Atlantic-Congo,angl1262
Austronesian,angl1263
Indo-European,angl1264
Indo-European,angl1265
Sino-Tibetan,angl1266
Indo-European,angl1267
Atlantic-Congo,ango1253
Senagi,ango1254
Lower Sepik-Ramu,ango1255
Tucanoan,ango1256
Chibchan,ango1257
Indo-European,ango1258
Sino-Tibetan,angp1238
Pama-Nyungan,angu1242
Pama-Nyungan,angu1243
Pama-Nyungan,angu1244
Atlantic-Congo,angw1241
Central Sudanic,angw1242
Atlantic-Congo,anha1238
Afro-Asiatic,anha1242
Indo-European,anha1243
Afro-Asiatic,anhi1238
Atlantic-Congo,anii1245
Khoe-Kwadi,anii1246
Khoe-Kwadi,anii1247
Sino-Tibetan,anil1235
Atlantic-Congo,anim1239
NA,anim1240
Gunwinyguan,anin1240
Austronesian,anin1241
Atlantic-Congo,anio1238
Sino-Tibetan,anip1235
Austronesian,anir1237
Austronesian,aniw1237
Afro-Asiatic,aniz1234
Nuclear Trans New Guinea,anja1238
Atlantic-Congo,anja1239
Tungusic,anju1241
Saharan,anka1245
Angan,anka1246
Angan,anka1247
Atlantic-Congo,ankp1238
Pama-Nyungan,anma1239
Atlantic-Congo,anoo1238
Lower Sepik-Ramu,anor1241
Indo-European,ansb1234
Chocoan,anse1238
Austronesian,ansu1237
Austronesian,ansu1238
Indo-European,anta1252
Pama-Nyungan,anta1253
Morehead-Wasur,anta1254
Austronesian,anta1255
Quechuan,anta1256
Quechuan,anta1257
Pama-Nyungan,ante1238
Chibchan,anti1242
Indo-European,anti1245
Indo-European,anti1246
Indo-European,antw1238
Nilotic,anua1242
Atlantic-Congo,anuf1239
Austronesian,anuk1239
Austronesian,anus1237
Austronesian,anus1238
Austronesian,anut1237
Sino-Tibetan,anuu1241
Atlantic-Congo,anuu1242
Tai-Kadai,anya1244
Atlantic-Congo,anya1245
Atlantic-Congo,anya1246
Atlantic-Congo,anyi1244
Atlantic-Congo,anyi1245
Atlantic-Congo,anyi1246
Sino-Tibetan,anyi1247
Atlantic-Congo,anyu1238
Nakh-Daghestanian,anyx1238
Austronesian,aohe1237
Austronesian,aohe1238
Sino-Tibetan,aoic1235
Austronesian,aola1237
Tungusic,aolu1238
Sino-Tibetan,aona1235
Austronesian,aore1237
Austroasiatic,aota1239
Tai-Kadai,aoua1234
Tai-Kadai,aouu1238
Atlantic-Congo,aowi1238
Atlantic-Congo,apaa1238
Athabaskan-Eyak-Tlingit,apac1239
Nuclear Trans New Guinea,apah1238
Muskogean,apal1237
Austronesian,apal1255
Nuclear Trans New Guinea,apal1256
Cariban,apal1257
Quechuan,apam1237
Atlantic-Congo,apan1242
Nuclear-Macro-Je,apan1243
Tupian,apap1240
Otomanguean,apas1235
Sino-Tibetan,apat1240
Atlantic-Congo,apia1246
Cariban,apia1247
Tupian,apia1248
Nuclear-Macro-Je,apin1244
Austronesian,apma1240
NA,apma1241
Nuclear Trans New Guinea,apmi1239
Ijoid,apoi1238
Chukotko-Kamchatkan,apok1238
Quechuan,apol1241
Arawakan,apol1242
Quechuan,apon1238
Sepik,apos1239
Unattested,apot1235
Indo-European,appe1239
Atlantic-Congo,apro1235
Austronesian,apso1237
Great Andamanese,apuc1241
Nilotic,apuk1238
Indo-European,apul1236
Indo-European,apul1237
Timor-Alor-Pantar,apur1252
Quechuan,apur1253
Arawakan,apur1254
Austronesian,aput1237
Austronesian,aput1239
Nakh-Daghestanian,aqus1234
Indo-European,arab1265
Pama-Nyungan,arab1266
Pama-Nyungan,arab1267
Zaparoan,arab1268
Afro-Asiatic,arab1393
Afro-Asiatic,arab1394
Afro-Asiatic,arab1395
Zaparoan,arab1396
Pidgin,arab1397
Sign Language,arab1398
Unclassifiable,arac1235
Afro-Asiatic,arad1238
NA,araf1243
Pidgin,araf1245
Indo-European,arag1245
Indo-European,arag1246
Arawakan,arai1239
Indo-European,arak1251
Austronesian,arak1252
Austronesian,arak1253
Bookkeeping,arak1254
Sino-Tibetan,arak1255
Bookkeeping,arak1256
Austronesian,aral1243
Austronesian,aral1244
Bookkeeping,aram1252
Morehead-Wasur,aram1253
Tabo,aram1254
Afro-Asiatic,aram1259
Atlantic-Congo,aram1260
South Bird's Head Family,aran1237
Indo-European,aran1260
Dravidian,aran1261
Pama-Nyungan,aran1263
Austronesian,aran1264
Unclassifiable,aran1265
Pama-Nyungan,aran1266
Pama-Nyungan,aran1267
Pano-Tacanan,arao1247
Pano-Tacanan,arao1248
Algic,arap1273
Algic,arap1274
Tucanoan,arap1275
Austronesian,arap1278
Nuclear Torricelli,arap1279
Algic,arap1280
Pano-Tacanan,arar1263
Pano-Tacanan,arar1264
Pano-Tacanan,arar1265
Indo-European,arar1266
Harakmbut,aras1241
Nuclear Trans New Guinea,arau1254
NA,arau1255
Dravidian,arav1239
Austronesian,arav1240
Austronesian,araw1269
Austronesian,araw1271
Nuclear Trans New Guinea,araw1272
Tupian,araw1273
Arawakan,araw1276
Afro-Asiatic,araw1280
NA,araw1281
NA,araw1282
Austronesian,araw1283
Unattested,araw1288
Unattested,araw1289
Tupian,araw1290
Pano-Tacanan,araz1236
Indo-European,arba1240
Indo-European,arbe1236
Afro-Asiatic,arbe1239
Indo-European,arbo1235
Afro-Asiatic,arbo1245
Indo-European,arca1234
Nakh-Daghestanian,arch1244
Indo-European,arch1246
Indo-European,ardv1234
Austronesian,area1240
Pama-Nyungan,areb1238
Cariban,arec1238
Austronesian,aree1239
Austronesian,arei1235
Austronesian,arek1234
Austroasiatic,arem1240
Quechuan,areq1237
Indo-European,ares1234
Indo-European,aret1240
Austronesian,aret1241
Afro-Asiatic,arew1238
Sign Language,arge1236
Afro-Asiatic,argo1244
Austronesian,argu1237
Austronesian,arha1237
Atlantic-Congo,arhe1238
Austronesian,arho1237
Chibchan,arhu1241
Chibchan,arhu1242
Austronesian,arib1240
Austronesian,arib1241
Afro-Asiatic,arid1234
Indo-European,arie1239
Austronesian,arif1239
Austronesian,arif1240
Atlantic-Congo,arig1246
Atlantic-Congo,arig1247
Kiwaian,arig1248
Suki-Gogodala,arii1243
Nuclear Trans New Guinea,arii1244
Caddoan,arik1262
Tupian,arik1263
Tupian,arik1264
Nuclear-Macro-Je,arik1265
Sino-Tibetan,arik1266
Yeniseian,arin1242
Yeniseian,arin1243
Central Sudanic,arin1244
Austronesian,ario1238
Pama-Nyungan,arit1239
Suki-Gogodala,ariw1234
Kiowa-Tanoan,ariz1237
Austronesian,arka1238
Indo-European,arli1238
Tungusic,arma1243
Unattested,arma1244
Indo-European,arma1245
Indo-European,arme1241
Sign Language,arme1259
Indo-European,arme1260
Ijoid,arog1238
Atlantic-Congo,aroh1238
Nuclear Trans New Guinea,arok1238
Indo-European,arom1237
Austronesian,arom1238
Austronesian,arop1242
Austronesian,arop1243
Austronesian,arop1244
Austronesian,aros1241
Afro-Asiatic,arsi1238
Austronesian,arta1239
NA,arti1236
Indo-European,arti1237
Indo-European,arti1238
Indo-European,arto1238
Indo-European,artv1238
Central Sudanic,arua1259
Lower Sepik-Ramu,arua1260
Tupian,arua1261
Tupian,arua1262
Arawan,arua1263
Arawakan,arua1264
Unclassifiable,arub1238
Nuclear Torricelli,arue1240
Atlantic-Congo,arug1238
Central Sudanic,arum1242
Timor-Alor-Pantar,arum1243
Nuclear Torricelli,aruo1240
Tupian,arup1240
Indo-European,arus1241
Unattested,arus1242
Nilotic,arus1243
Austronesian,arut1243
NA,arut1244
Austronesian,aruu1241
Indo-European,arva1236
Austronesian,arwa1237
Afro-Asiatic,arze1238
Afro-Asiatic,asaa1238
Atlantic-Congo,asan1239
Koiarian,asap1239
Nuclear Trans New Guinea,asar1240
Nuclear Trans New Guinea,asas1240
Nuclear Trans New Guinea,asba1238
Atlantic-Congo,aseb1238
Atlantic-Congo,asee1238
Atlantic-Congo,asen1242
Atlantic-Congo,asen1243
Indo-European,asen1244
Austronesian,aser1237
Austronesian,aset1235
Arawakan,asha1241
Arawakan,asha1242
Arawakan,asha1243
Arawakan,asha1244
Atlantic-Congo,ashe1269
Atlantic-Congo,ashe1270
Arawakan,ashe1271
Arawakan,ashe1272
Arawakan,ashe1273
Arawakan,ashe1274
Indo-European,ashi1242
Sino-Tibetan,ashi1243
Indo-European,ashk1245
Indo-European,ashk1246
Abkhaz-Adyge,ashk1247
Sino-Tibetan,asho1236
Sino-Tibetan,asho1237
Indo-European,ashr1238
Indo-European,asht1244
Nakh-Daghestanian,asht1245
Indo-European,ashu1242
Atlantic-Congo,ashu1243
Mailuan,asia1264
Indo-European,asia1266
Dravidian,asif1237
Austronesian,asil1242
North Bougainville,asko1238
Indo-European,asla1234
Austroasiatic,asli1243
Sign Language,asli1244
Nuclear Trans New Guinea,asma1256
Nuclear Trans New Guinea,asma1257
Central Sudanic,asoa1238
Sino-Tibetan,ason1245
Atlantic-Congo,ason1246
Atlantic-Congo,ason1247
Indo-European,aspr1238
Indo-European,assa1262
Indo-European,assa1263
Tai-Kadai,assa1264
Tai-Kadai,assa1265
Bookkeeping,assa1266
Atlantic-Congo,assa1267
Atlantic-Congo,assa1268
Tamaic,assa1269
